cellLine	randomSeed	numEstimators	boolFeatureSelection	accuracy	sensitivity	specificity	mcc
PC3	0	6	False	0.610526315789	0.71875	0.387096774194	0.106765553315
PC3	1	6	False	0.626315789474	0.725190839695	0.406779661017	0.131368492654
PC3	2	6	False	0.542105263158	0.680672268908	0.30985915493	-0.00985462336522
PC3	3	6	False	0.578947368421	0.698412698413	0.34375	0.042870283564
PC3	4	6	False	0.505263157895	0.647540983607	0.25	-0.105666483014
PC3	0	8	False	0.636842105263	0.713286713287	0.404255319149	0.109109569502
PC3	1	8	False	0.631578947368	0.711267605634	0.395833333333	0.10011767784
PC3	2	8	False	0.589473684211	0.706349206349	0.359375	0.0668272067322
PC3	3	8	False	0.636842105263	0.716312056738	0.408163265306	0.117150340051
PC3	4	8	False	0.542105263158	0.656934306569	0.245283018868	-0.0943436835897
PC3	0	10	False	0.642105263158	0.718309859155	0.416666666667	0.12617570358
PC3	1	10	False	0.584210526316	0.673469387755	0.279069767442	-0.0427249003253
PC3	2	10	False	0.605263157895	0.700729927007	0.358490566038	0.0571377238642
PC3	3	10	False	0.647368421053	0.714285714286	0.418604651163	0.119629720911
PC3	4	10	False	0.6	0.684931506849	0.318181818182	0.00282539991775
PC3	0	12	False	0.636842105263	0.710344827586	0.4	0.100924112047
PC3	1	12	False	0.621052631579	0.693333333333	0.35	0.0380058475033
PC3	2	12	False	0.621052631579	0.698630136986	0.363636363636	0.056507998355
PC3	3	12	False	0.647368421053	0.711409395973	0.414634146341	0.111547119848
PC3	4	12	False	0.578947368421	0.671232876712	0.272727272727	-0.0508571985195
PC3	0	14	False	0.610526315789	0.691780821918	0.340909090909	0.0296666991364
PC3	1	14	False	0.615789473684	0.688741721854	0.333333333333	0.0191811779216
PC3	2	14	False	0.621052631579	0.695945945946	0.357142857143	0.0473926655303
PC3	3	14	False	0.636842105263	0.701986754967	0.384615384615	0.0752492364617
PC3	4	14	False	0.610526315789	0.684210526316	0.315789473684	0.0
PC3	0	16	False	0.610526315789	0.681818181818	0.305555555556	-0.0106448397504
PC3	1	16	False	0.647368421053	0.703225806452	0.4	0.0860876503345
PC3	2	16	False	0.636842105263	0.699346405229	0.378378378378	0.0662153681007
PC3	3	16	False	0.673684210526	0.717948717949	0.470588235294	0.15547155451
PC3	4	16	False	0.642105263158	0.701298701299	0.388888888889	0.076034569646
PC3	0	18	False	0.605263157895	0.675159235669	0.272727272727	-0.0424726801076
PC3	1	18	False	0.636842105263	0.696774193548	0.371428571429	0.0568793403996
PC3	2	18	False	0.631578947368	0.689873417722	0.34375	0.0270706128218
PC3	3	18	False	0.673684210526	0.717948717949	0.470588235294	0.15547155451
PC3	4	18	False	0.631578947368	0.694805194805	0.361111111111	0.0471414331805
PC3	0	20	False	0.647368421053	0.695652173913	0.379310344828	0.0579974375641
PC3	1	20	False	0.663157894737	0.70625	0.433333333333	0.109498175452
PC3	2	20	False	0.663157894737	0.703703703704	0.428571428571	0.100871255445
PC3	3	20	False	0.694736842105	0.727848101266	0.53125	0.208602957627
PC3	4	20	False	0.652631578947	0.705128205128	0.411764705882	0.0963923637965
PC3	0	22	False	0.684210526316	0.710843373494	0.5	0.150685797118
PC3	1	22	False	0.652631578947	0.69512195122	0.384615384615	0.0589553222667
PC3	2	22	False	0.652631578947	0.690476190476	0.363636363636	0.037249179689
PC3	3	22	False	0.7	0.723926380368	0.555555555556	0.20993368342
PC3	4	22	False	0.657894736842	0.704402515723	0.41935483871	0.0983791632906
PC3	0	24	False	0.689473684211	0.712574850299	0.521739130435	0.164426970252
PC3	1	24	False	0.673684210526	0.704819277108	0.458333333333	0.116602104913
PC3	2	24	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	3	24	False	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	4	24	False	0.663157894737	0.70625	0.433333333333	0.109498175452
PC3	0	26	False	0.673684210526	0.702380952381	0.454545454545	0.108022621098
PC3	1	26	False	0.684210526316	0.710843373494	0.5	0.150685797118
PC3	2	26	False	0.673684210526	0.697674418605	0.444444444444	0.0895374865927
PC3	3	26	False	0.689473684211	0.715151515152	0.52	0.171006436263
PC3	4	26	False	0.668421052632	0.705521472393	0.444444444444	0.112647342323
PC3	0	28	False	0.678947368421	0.704142011834	0.47619047619	0.121640913503
PC3	1	28	False	0.689473684211	0.707602339181	0.526315789474	0.150970271219
PC3	2	28	False	0.673684210526	0.695402298851	0.4375	0.0793998729046
PC3	3	28	False	0.684210526316	0.710843373494	0.5	0.150685797118
PC3	4	28	False	0.673684210526	0.702380952381	0.454545454545	0.108022621098
PC3	0	30	False	0.689473684211	0.707602339181	0.526315789474	0.150970271219
PC3	1	30	False	0.684210526316	0.708333333333	0.5	0.143409341803
PC3	2	30	False	0.668421052632	0.695906432749	0.421052631579	0.0754851356096
PC3	3	30	False	0.684210526316	0.705882352941	0.5	0.135928736542
PC3	4	30	False	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	0	32	False	0.678947368421	0.701754385965	0.473684210526	0.113227703414
PC3	1	32	False	0.678947368421	0.706586826347	0.478260869565	0.129714609865
